vct_region,vct_report_date,vct_target_bloom_intensity_num,vct_target_bloom
Inland Sea,2015-05-31,0.0,False
Inland Sea,2015-06-13,0.0,False
Main Lake Central,2015-06-14,0.25,False
Main Lake North,2015-06-14,0.25,False
Main Lake South,2015-06-14,0.0,False
Missisquoi Bay,2015-06-14,0.25,False
Inland Sea,2015-06-15,0.0,False
Main Lake Central,2015-06-15,0.0,False
Main Lake North,2015-06-15,0.0,False
Main Lake South,2015-06-15,0.0,False
Malletts Bay,2015-06-15,0.5,False
Missisquoi Bay,2015-06-15,0.25,False
St. Albans Bay,2015-06-15,0.0,False
Inland Sea,2015-06-16,0.25,False
Main Lake Central,2015-06-16,0.0,False
Main Lake North,2015-06-16,0.0,False
Main Lake South,2015-06-16,0.25,False
Missisquoi Bay,2015-06-16,0.0,False
St. Albans Bay,2015-06-16,0.0,False
Inland Sea,2015-06-17,0.0,False
Main Lake Central,2015-06-17,0.0,False
Main Lake North,2015-06-17,0.25,False
Main Lake South,2015-06-17,0.0,False
Malletts Bay,2015-06-17,0.25,False
Main Lake Central,2015-06-18,0.25,False
Main Lake South,2015-06-18,0.25,False
Main Lake South,2015-06-19,0.5,False
Missisquoi Bay,2015-06-19,0.0,False
St. Albans Bay,2015-06-19,0.25,False
Main Lake Central,2015-06-20,0.25,False
Main Lake South,2015-06-20,0.25,False
Missisquoi Bay,2015-06-20,0.25,False
Inland Sea,2015-06-21,0.0,False
Main Lake Central,2015-06-21,0.0,False
Main Lake South,2015-06-21,0.25,False
Malletts Bay,2015-06-21,0.25,False
Missisquoi Bay,2015-06-21,0.0,False
Inland Sea,2015-06-22,0.5,False
Main Lake Central,2015-06-22,0.5,False
Main Lake North,2015-06-22,0.25,False
Main Lake South,2015-06-22,0.25,False
Malletts Bay,2015-06-22,0.0,False
Missisquoi Bay,2015-06-22,0.0,False
St. Albans Bay,2015-06-22,0.0,False
Inland Sea,2015-06-23,0.5,False
Main Lake Central,2015-06-23,0.25,False
Main Lake North,2015-06-23,0.25,False
Main Lake South,2015-06-23,0.25,False
Missisquoi Bay,2015-06-23,0.5,False
St. Albans Bay,2015-06-23,0.25,False
Inland Sea,2015-06-24,0.25,False
Main Lake Central,2015-06-24,0.25,False
Main Lake North,2015-06-24,0.5,False
Main Lake South,2015-06-24,0.5,False
Malletts Bay,2015-06-24,0.0,False
Missisquoi Bay,2015-06-24,0.0,False
Main Lake Central,2015-06-25,0.25,False
Main Lake North,2015-06-25,0.0,False
Missisquoi Bay,2015-06-25,0.25,False
Inland Sea,2015-06-26,0.0,False
Main Lake South,2015-06-26,0.25,False
Malletts Bay,2015-06-26,0.0,False
Missisquoi Bay,2015-06-26,0.0,False
St. Albans Bay,2015-06-26,0.25,False
Main Lake Central,2015-06-27,0.25,False
Main Lake North,2015-06-27,0.0,False
Missisquoi Bay,2015-06-27,0.5,False
Inland Sea,2015-06-28,0.0,False
Main Lake Central,2015-06-28,0.25,False
Main Lake South,2015-06-28,0.25,False
Missisquoi Bay,2015-06-28,0.0,False
Inland Sea,2015-06-29,0.25,False
Main Lake Central,2015-06-29,0.0,False
Main Lake North,2015-06-29,0.0,False
Main Lake South,2015-06-29,0.25,False
Malletts Bay,2015-06-29,0.0,False
Missisquoi Bay,2015-06-29,0.0,False
St. Albans Bay,2015-06-29,0.0,False
Inland Sea,2015-06-30,0.5,False
Main Lake Central,2015-06-30,0.25,False
Main Lake North,2015-06-30,0.0,False
Main Lake South,2015-06-30,0.5,False
Missisquoi Bay,2015-06-30,0.0,False
St. Albans Bay,2015-06-30,0.0,False
Inland Sea,2015-07-01,0.25,False
Main Lake Central,2015-07-01,0.0,False
Main Lake South,2015-07-01,0.0,False
St. Albans Bay,2015-07-01,0.0,False
Main Lake Central,2015-07-02,0.25,False
Main Lake North,2015-07-02,0.5,False
Missisquoi Bay,2015-07-02,0.25,False
Main Lake South,2015-07-03,0.25,False
Malletts Bay,2015-07-03,0.0,False
St. Albans Bay,2015-07-03,0.25,False
Main Lake Central,2015-07-04,0.25,False
Main Lake South,2015-07-04,0.25,False
Missisquoi Bay,2015-07-04,0.0,False
Inland Sea,2015-07-05,0.0,False
Main Lake Central,2015-07-05,0.75,False
Main Lake North,2015-07-05,0.25,False
Main Lake South,2015-07-05,0.25,False
Missisquoi Bay,2015-07-05,0.0,False
Inland Sea,2015-07-06,0.0,False
Main Lake Central,2015-07-06,0.75,False
Main Lake North,2015-07-06,0.75,False
Main Lake South,2015-07-06,0.5,False
Malletts Bay,2015-07-06,0.0,False
Missisquoi Bay,2015-07-06,0.0,False
St. Albans Bay,2015-07-06,0.75,False
Inland Sea,2015-07-07,0.5,False
Main Lake Central,2015-07-07,0.25,False
Main Lake North,2015-07-07,0.5,False
Main Lake South,2015-07-07,0.25,False
Missisquoi Bay,2015-07-07,0.0,False
St. Albans Bay,2015-07-07,0.0,False
Inland Sea,2015-07-08,0.25,False
Main Lake Central,2015-07-08,0.75,False
Main Lake North,2015-07-08,0.0,False
Main Lake South,2015-07-08,0.25,False
Main Lake Central,2015-07-09,0.25,False
Main Lake South,2015-07-09,0.0,False
Missisquoi Bay,2015-07-09,0.25,False
Main Lake Central,2015-07-10,1.0,True
Main Lake South,2015-07-10,0.25,False
Malletts Bay,2015-07-10,0.0,False
St. Albans Bay,2015-07-10,0.0,False
Inland Sea,2015-07-11,0.0,False
Main Lake Central,2015-07-11,0.75,False
Main Lake North,2015-07-11,0.0,False
Main Lake South,2015-07-11,0.25,False
Missisquoi Bay,2015-07-11,0.5,False
St. Albans Bay,2015-07-11,0.0,False
Inland Sea,2015-07-12,0.5,False
Main Lake Central,2015-07-12,0.25,False
Main Lake South,2015-07-12,0.0,False
Missisquoi Bay,2015-07-12,1.0,True
St. Albans Bay,2015-07-12,0.75,False
Inland Sea,2015-07-13,2.0,True
Main Lake Central,2015-07-13,2.0,True
Main Lake North,2015-07-13,0.5,False
Main Lake South,2015-07-13,0.25,False
Malletts Bay,2015-07-13,0.0,False
Missisquoi Bay,2015-07-13,0.75,False
St. Albans Bay,2015-07-13,2.0,True
Inland Sea,2015-07-14,0.75,False
Main Lake Central,2015-07-14,0.5,False
Main Lake North,2015-07-14,0.5,False
Main Lake South,2015-07-14,0.5,False
Missisquoi Bay,2015-07-14,1.0,True
St. Albans Bay,2015-07-14,0.0,False
Inland Sea,2015-07-15,0.75,False
Main Lake Central,2015-07-15,0.75,False
Main Lake North,2015-07-15,0.25,False
Main Lake South,2015-07-15,0.25,False
St. Albans Bay,2015-07-15,2.0,True
Inland Sea,2015-07-16,0.0,False
Main Lake Central,2015-07-16,0.0,False
Malletts Bay,2015-07-16,0.0,False
St. Albans Bay,2015-07-16,0.0,False
Inland Sea,2015-07-17,0.0,False
Main Lake South,2015-07-17,0.25,False
Inland Sea,2015-07-18,0.25,False
Main Lake Central,2015-07-18,0.25,False
Main Lake North,2015-07-18,0.25,False
Main Lake South,2015-07-18,0.0,False
St. Albans Bay,2015-07-18,0.0,False
Inland Sea,2015-07-19,0.0,False
Main Lake Central,2015-07-19,0.75,False
Main Lake South,2015-07-19,0.0,False
Missisquoi Bay,2015-07-19,0.0,False
St. Albans Bay,2015-07-19,0.0,False
Inland Sea,2015-07-20,0.75,False
Main Lake Central,2015-07-20,0.75,False
Main Lake North,2015-07-20,1.0,True
Main Lake South,2015-07-20,0.25,False
Malletts Bay,2015-07-20,0.0,False
Missisquoi Bay,2015-07-20,0.0,False
St. Albans Bay,2015-07-20,2.0,True
Inland Sea,2015-07-21,0.5,False
Main Lake Central,2015-07-21,0.5,False
Main Lake North,2015-07-21,1.0,True
Main Lake South,2015-07-21,0.25,False
Missisquoi Bay,2015-07-21,0.0,False
St. Albans Bay,2015-07-21,0.75,False
Inland Sea,2015-07-22,0.0,False
Main Lake Central,2015-07-22,0.5,False
Main Lake South,2015-07-22,0.0,False
Missisquoi Bay,2015-07-22,2.0,True
St. Albans Bay,2015-07-22,0.75,False
Inland Sea,2015-07-23,0.5,False
Main Lake Central,2015-07-23,0.0,False
Main Lake South,2015-07-23,1.0,True
St. Albans Bay,2015-07-23,0.75,False
Inland Sea,2015-07-24,1.0,True
Main Lake North,2015-07-24,0.0,False
Main Lake South,2015-07-24,1.0,True
Malletts Bay,2015-07-24,0.0,False
Main Lake Central,2015-07-25,0.25,False
Main Lake South,2015-07-25,2.0,True
Missisquoi Bay,2015-07-25,2.0,True
Inland Sea,2015-07-26,0.0,False
Main Lake Central,2015-07-26,0.75,False
Main Lake North,2015-07-26,0.0,False
Main Lake South,2015-07-26,0.0,False
Missisquoi Bay,2015-07-26,0.0,False
St. Albans Bay,2015-07-26,2.0,True
Inland Sea,2015-07-27,0.75,False
Main Lake Central,2015-07-27,0.25,False
Main Lake North,2015-07-27,1.0,True
Main Lake South,2015-07-27,2.0,True
Malletts Bay,2015-07-27,0.0,False
Missisquoi Bay,2015-07-27,2.0,True
St. Albans Bay,2015-07-27,2.0,True
Inland Sea,2015-07-28,0.0,False
Main Lake Central,2015-07-28,2.0,True
Main Lake North,2015-07-28,0.75,False
Main Lake South,2015-07-28,2.0,True
Missisquoi Bay,2015-07-28,0.0,False
St. Albans Bay,2015-07-28,2.0,True
Inland Sea,2015-07-29,0.0,False
Main Lake Central,2015-07-29,1.0,True
Main Lake South,2015-07-29,1.0,True
Malletts Bay,2015-07-29,0.0,False
St. Albans Bay,2015-07-29,2.0,True
Inland Sea,2015-07-30,0.75,False
Main Lake Central,2015-07-30,0.25,False
Main Lake South,2015-07-30,0.0,False
St. Albans Bay,2015-07-30,0.5,False
Inland Sea,2015-07-31,0.0,False
Main Lake Central,2015-07-31,0.75,False
Main Lake South,2015-07-31,0.25,False
Malletts Bay,2015-07-31,0.0,False
St. Albans Bay,2015-07-31,0.75,False
Main Lake Central,2015-08-01,0.25,False
Main Lake South,2015-08-01,0.25,False
Missisquoi Bay,2015-08-01,0.25,False
Inland Sea,2015-08-02,0.25,False
Main Lake Central,2015-08-02,0.25,False
Main Lake North,2015-08-02,0.0,False
Main Lake South,2015-08-02,0.0,False
Missisquoi Bay,2015-08-02,0.75,False
Inland Sea,2015-08-03,0.5,False
Main Lake Central,2015-08-03,0.25,False
Main Lake North,2015-08-03,0.0,False
Main Lake South,2015-08-03,0.5,False
Malletts Bay,2015-08-03,0.25,False
Missisquoi Bay,2015-08-03,0.75,False
St. Albans Bay,2015-08-03,0.25,False
Inland Sea,2015-08-04,0.5,False
Main Lake Central,2015-08-04,0.5,False
Main Lake North,2015-08-04,0.75,False
Main Lake South,2015-08-04,0.25,False
Missisquoi Bay,2015-08-04,1.0,True
Inland Sea,2015-08-05,0.0,False
Main Lake Central,2015-08-05,0.5,False
Main Lake North,2015-08-05,0.0,False
Main Lake South,2015-08-05,0.0,False
Malletts Bay,2015-08-05,0.0,False
Inland Sea,2015-08-06,0.0,False
Main Lake North,2015-08-06,0.0,False
Main Lake South,2015-08-06,0.0,False
Missisquoi Bay,2015-08-06,1.0,True
St. Albans Bay,2015-08-06,0.0,False
Inland Sea,2015-08-07,0.75,False
Main Lake Central,2015-08-07,0.25,False
Main Lake South,2015-08-07,0.25,False
Malletts Bay,2015-08-07,0.0,False
Missisquoi Bay,2015-08-07,2.0,True
St. Albans Bay,2015-08-07,1.0,True
Inland Sea,2015-08-08,1.0,True
Main Lake Central,2015-08-08,0.25,False
Main Lake North,2015-08-08,0.0,False
Missisquoi Bay,2015-08-08,2.0,True
Inland Sea,2015-08-09,2.0,True
Main Lake Central,2015-08-09,0.0,False
Main Lake South,2015-08-09,0.25,False
Missisquoi Bay,2015-08-09,2.0,True
Inland Sea,2015-08-10,0.0,False
Main Lake Central,2015-08-10,0.25,False
Main Lake North,2015-08-10,0.5,False
Main Lake South,2015-08-10,0.75,False
Malletts Bay,2015-08-10,0.25,False
Missisquoi Bay,2015-08-10,2.0,True
St. Albans Bay,2015-08-10,0.25,False
Inland Sea,2015-08-11,0.5,False
Main Lake Central,2015-08-11,0.25,False
Main Lake North,2015-08-11,0.25,False
Main Lake South,2015-08-11,0.25,False
Missisquoi Bay,2015-08-11,0.0,False
St. Albans Bay,2015-08-11,0.25,False
Inland Sea,2015-08-12,0.0,False
Main Lake Central,2015-08-12,0.5,False
Main Lake North,2015-08-12,0.0,False
Main Lake South,2015-08-12,0.0,False
Missisquoi Bay,2015-08-12,2.0,True
Inland Sea,2015-08-13,0.0,False
Main Lake Central,2015-08-13,0.0,False
Main Lake South,2015-08-13,0.0,False
Malletts Bay,2015-08-13,0.0,False
Missisquoi Bay,2015-08-13,2.0,True
St. Albans Bay,2015-08-13,2.0,True
Main Lake Central,2015-08-14,0.0,False
Main Lake South,2015-08-14,0.25,False
St. Albans Bay,2015-08-14,1.0,True
Inland Sea,2015-08-15,2.0,True
Main Lake Central,2015-08-15,0.25,False
Main Lake North,2015-08-15,1.0,True
Main Lake South,2015-08-15,0.0,False
Missisquoi Bay,2015-08-15,2.0,True
St. Albans Bay,2015-08-15,2.0,True
Inland Sea,2015-08-16,0.75,False
Main Lake Central,2015-08-16,0.0,False
Main Lake North,2015-08-16,0.0,False
Main Lake South,2015-08-16,0.0,False
Missisquoi Bay,2015-08-16,1.0,True
St. Albans Bay,2015-08-16,2.0,True
Inland Sea,2015-08-17,0.0,False
Main Lake Central,2015-08-17,1.0,True
Main Lake North,2015-08-17,0.0,False
Main Lake South,2015-08-17,0.25,False
Missisquoi Bay,2015-08-17,0.75,False
St. Albans Bay,2015-08-17,1.0,True
Inland Sea,2015-08-18,0.75,False
Main Lake Central,2015-08-18,0.75,False
Main Lake North,2015-08-18,2.0,True
Main Lake South,2015-08-18,0.75,False
Missisquoi Bay,2015-08-18,2.0,True
St. Albans Bay,2015-08-18,2.0,True
Inland Sea,2015-08-19,0.25,False
Main Lake Central,2015-08-19,0.5,False
Main Lake North,2015-08-19,1.0,True
Main Lake South,2015-08-19,0.25,False
Malletts Bay,2015-08-19,0.0,False
Missisquoi Bay,2015-08-19,2.0,True
St. Albans Bay,2015-08-19,2.0,True
Main Lake Central,2015-08-20,0.0,False
Main Lake North,2015-08-20,0.25,False
Missisquoi Bay,2015-08-20,2.0,True
St. Albans Bay,2015-08-20,0.5,False
Main Lake North,2015-08-21,0.0,False
Main Lake South,2015-08-21,0.25,False
Missisquoi Bay,2015-08-21,2.0,True
St. Albans Bay,2015-08-21,2.0,True
Inland Sea,2015-08-22,1.0,True
Main Lake Central,2015-08-22,0.0,False
Main Lake North,2015-08-22,2.0,True
Missisquoi Bay,2015-08-22,2.0,True
Inland Sea,2015-08-23,2.0,True
Main Lake Central,2015-08-23,0.25,False
Main Lake North,2015-08-23,2.0,True
Main Lake South,2015-08-23,0.0,False
Missisquoi Bay,2015-08-23,2.0,True
St. Albans Bay,2015-08-23,2.0,True
Inland Sea,2015-08-24,0.75,False
Main Lake Central,2015-08-24,0.5,False
Main Lake North,2015-08-24,0.25,False
Main Lake South,2015-08-24,0.5,False
Malletts Bay,2015-08-24,0.0,False
Missisquoi Bay,2015-08-24,2.0,True
St. Albans Bay,2015-08-24,2.0,True
Inland Sea,2015-08-25,1.0,True
Main Lake Central,2015-08-25,0.0,False
Main Lake North,2015-08-25,1.0,True
Main Lake South,2015-08-25,0.25,False
Malletts Bay,2015-08-25,0.0,False
Missisquoi Bay,2015-08-25,2.0,True
St. Albans Bay,2015-08-25,2.0,True
Inland Sea,2015-08-26,2.0,True
Main Lake Central,2015-08-26,0.0,False
Main Lake North,2015-08-26,1.0,True
Main Lake South,2015-08-26,0.0,False
Missisquoi Bay,2015-08-26,2.0,True
St. Albans Bay,2015-08-26,2.0,True
Main Lake Central,2015-08-27,0.0,False
Main Lake South,2015-08-27,0.5,False
Missisquoi Bay,2015-08-27,2.0,True
Inland Sea,2015-08-28,2.0,True
Main Lake Central,2015-08-28,0.0,False
Main Lake South,2015-08-28,0.0,False
St. Albans Bay,2015-08-28,2.0,True
Inland Sea,2015-08-29,0.0,False
Main Lake Central,2015-08-29,0.5,False
Missisquoi Bay,2015-08-29,0.75,False
Inland Sea,2015-08-30,0.75,False
Main Lake Central,2015-08-30,0.0,False
Main Lake South,2015-08-30,0.0,False
Missisquoi Bay,2015-08-30,2.0,True
Inland Sea,2015-08-31,0.0,False
Main Lake Central,2015-08-31,0.25,False
Main Lake North,2015-08-31,0.25,False
Main Lake South,2015-08-31,0.25,False
Malletts Bay,2015-08-31,0.0,False
Missisquoi Bay,2015-08-31,0.0,False
St. Albans Bay,2015-08-31,2.0,True
Inland Sea,2015-09-01,1.0,True
Main Lake Central,2015-09-01,0.75,False
Main Lake North,2015-09-01,1.0,True
Main Lake South,2015-09-01,0.0,False
Missisquoi Bay,2015-09-01,2.0,True
St. Albans Bay,2015-09-01,2.0,True
Inland Sea,2015-09-02,0.5,False
Main Lake Central,2015-09-02,0.0,False
Main Lake South,2015-09-02,0.5,False
Malletts Bay,2015-09-02,0.0,False
St. Albans Bay,2015-09-02,1.0,True
Inland Sea,2015-09-03,0.5,False
Main Lake Central,2015-09-03,0.5,False
Main Lake South,2015-09-03,0.0,False
St. Albans Bay,2015-09-03,1.0,True
Inland Sea,2015-09-04,0.5,False
Main Lake Central,2015-09-04,0.0,False
Main Lake North,2015-09-04,1.0,True
Main Lake South,2015-09-04,0.0,False
Missisquoi Bay,2015-09-04,2.0,True
St. Albans Bay,2015-09-04,0.75,False
Inland Sea,2015-09-05,0.0,False
Missisquoi Bay,2015-09-05,0.5,False
Inland Sea,2015-09-06,0.0,False
Main Lake Central,2015-09-06,0.5,False
Missisquoi Bay,2015-09-06,0.0,False
Inland Sea,2015-09-07,0.75,False
Main Lake Central,2015-09-07,0.5,False
Main Lake North,2015-09-07,0.25,False
Main Lake South,2015-09-07,0.25,False
Missisquoi Bay,2015-09-07,0.75,False
Inland Sea,2015-09-08,1.0,True
Main Lake Central,2015-09-08,0.75,False
Main Lake North,2015-09-08,0.75,False
Main Lake South,2015-09-08,1.0,True
Missisquoi Bay,2015-09-08,2.0,True
St. Albans Bay,2015-09-08,2.0,True
Inland Sea,2015-09-09,0.0,False
Main Lake South,2015-09-09,0.0,False
Inland Sea,2015-09-10,2.0,True
Main Lake South,2015-09-10,0.0,False
Missisquoi Bay,2015-09-10,1.0,True
St. Albans Bay,2015-09-10,0.75,False
Main Lake South,2015-09-11,0.0,False
Missisquoi Bay,2015-09-11,2.0,True
St. Albans Bay,2015-09-11,0.75,False
Inland Sea,2015-09-13,0.25,False
Main Lake Central,2015-09-13,0.0,False
Main Lake South,2015-09-13,0.25,False
Missisquoi Bay,2015-09-13,2.0,True
Inland Sea,2015-09-14,0.75,False
Main Lake Central,2015-09-14,0.25,False
Main Lake North,2015-09-14,0.75,False
Main Lake South,2015-09-14,0.25,False
Malletts Bay,2015-09-14,0.0,False
Missisquoi Bay,2015-09-14,0.75,False
Inland Sea,2015-09-15,0.25,False
Main Lake Central,2015-09-15,0.75,False
Main Lake North,2015-09-15,0.75,False
Main Lake South,2015-09-15,0.0,False
Missisquoi Bay,2015-09-15,0.0,False
St. Albans Bay,2015-09-15,0.75,False
Inland Sea,2015-09-16,0.0,False
Main Lake Central,2015-09-16,0.5,False
Main Lake South,2015-09-16,0.25,False
Missisquoi Bay,2015-09-16,0.0,False
Missisquoi Bay,2015-09-17,2.0,True
Missisquoi Bay,2015-09-18,0.25,False
Inland Sea,2015-09-19,1.0,True
Main Lake Central,2015-09-19,0.0,False
Inland Sea,2015-09-20,0.0,False
Main Lake Central,2015-09-20,0.0,False
Main Lake South,2015-09-20,0.0,False
Missisquoi Bay,2015-09-20,0.0,False
St. Albans Bay,2015-09-20,0.75,False
Inland Sea,2015-09-21,0.0,False
Main Lake Central,2015-09-21,0.5,False
Main Lake North,2015-09-21,0.0,False
Main Lake South,2015-09-21,0.25,False
Missisquoi Bay,2015-09-21,2.0,True
St. Albans Bay,2015-09-21,1.0,True
Inland Sea,2015-09-22,0.5,False
Main Lake Central,2015-09-22,0.0,False
Main Lake North,2015-09-22,0.0,False
Main Lake South,2015-09-22,0.0,False
Malletts Bay,2015-09-22,0.0,False
Missisquoi Bay,2015-09-22,0.0,False
St. Albans Bay,2015-09-22,0.0,False
Inland Sea,2015-09-23,0.0,False
Main Lake Central,2015-09-23,0.0,False
Main Lake South,2015-09-23,0.75,False
Missisquoi Bay,2015-09-24,0.25,False
St. Albans Bay,2015-09-25,0.75,False
Missisquoi Bay,2015-09-26,2.0,True
Main Lake Central,2015-09-27,0.0,False
Missisquoi Bay,2015-09-27,0.25,False
Inland Sea,2015-09-28,0.0,False
Main Lake Central,2015-09-28,0.25,False
Main Lake North,2015-09-28,0.0,False
Main Lake South,2015-09-28,0.25,False
Main Lake Central,2015-09-29,0.0,False
Main Lake South,2015-09-29,0.0,False
Missisquoi Bay,2015-09-29,0.5,False
Inland Sea,2015-10-04,0.0,False
Main Lake North,2015-10-06,0.0,False
St. Albans Bay,2015-10-06,2.0,True
Inland Sea,2016-06-18,0.0,False
Main Lake Central,2016-06-18,0.5,False
Main Lake South,2016-06-18,0.5,False
Malletts Bay,2016-06-18,0.25,False
Missisquoi Bay,2016-06-18,0.0,False
St. Albans Bay,2016-06-18,0.25,False
Inland Sea,2016-06-19,0.25,False
Main Lake Central,2016-06-19,0.5,False
Main Lake North,2016-06-19,0.0,False
Main Lake South,2016-06-19,0.0,False
Missisquoi Bay,2016-06-19,0.0,False
Inland Sea,2016-06-20,0.0,False
Main Lake Central,2016-06-20,0.25,False
Main Lake North,2016-06-20,0.0,False
Main Lake South,2016-06-20,0.25,False
Missisquoi Bay,2016-06-20,0.0,False
St. Albans Bay,2016-06-20,0.25,False
Inland Sea,2016-06-21,0.25,False
Main Lake Central,2016-06-21,0.0,False
Main Lake North,2016-06-21,0.0,False
Main Lake South,2016-06-21,0.25,False
Main Lake Central,2016-06-22,0.0,False
Main Lake North,2016-06-22,0.25,False
Main Lake South,2016-06-22,0.0,False
Inland Sea,2016-06-23,0.5,False
Main Lake Central,2016-06-23,0.0,False
Main Lake North,2016-06-23,0.0,False
Main Lake South,2016-06-23,0.5,False
Malletts Bay,2016-06-23,0.0,False
Inland Sea,2016-06-24,0.0,False
Main Lake Central,2016-06-24,0.5,False
Main Lake South,2016-06-24,0.25,False
Missisquoi Bay,2016-06-24,0.5,False
St. Albans Bay,2016-06-24,0.5,False
Inland Sea,2016-06-25,0.5,False
Main Lake Central,2016-06-25,0.5,False
Main Lake South,2016-06-25,0.5,False
Malletts Bay,2016-06-25,0.25,False
Missisquoi Bay,2016-06-25,0.5,False
St. Albans Bay,2016-06-25,0.5,False
Inland Sea,2016-06-26,0.5,False
Main Lake Central,2016-06-26,0.25,False
Main Lake North,2016-06-26,0.0,False
Main Lake South,2016-06-26,0.25,False
Missisquoi Bay,2016-06-26,0.25,False
Inland Sea,2016-06-27,0.0,False
Main Lake Central,2016-06-27,0.25,False
Main Lake North,2016-06-27,0.25,False
Main Lake South,2016-06-27,0.25,False
Malletts Bay,2016-06-27,0.0,False
Missisquoi Bay,2016-06-27,0.5,False
St. Albans Bay,2016-06-27,0.0,False
Inland Sea,2016-06-28,0.0,False
Main Lake Central,2016-06-28,0.25,False
Main Lake North,2016-06-28,0.25,False
Main Lake South,2016-06-28,0.5,False
Inland Sea,2016-06-29,0.0,False
Main Lake Central,2016-06-29,0.0,False
Main Lake North,2016-06-29,0.0,False
Main Lake South,2016-06-29,0.25,False
Inland Sea,2016-06-30,0.5,False
Main Lake Central,2016-06-30,0.5,False
Main Lake North,2016-06-30,0.0,False
Main Lake South,2016-06-30,0.0,False
Inland Sea,2016-07-01,0.0,False
Main Lake Central,2016-07-01,0.0,False
Malletts Bay,2016-07-01,0.0,False
St. Albans Bay,2016-07-01,0.5,False
Inland Sea,2016-07-02,0.5,False
Main Lake Central,2016-07-02,0.0,False
Main Lake North,2016-07-02,0.0,False
Malletts Bay,2016-07-02,0.25,False
Missisquoi Bay,2016-07-02,0.0,False
Inland Sea,2016-07-03,0.0,False
Main Lake Central,2016-07-03,0.25,False
Main Lake South,2016-07-03,0.5,False
Missisquoi Bay,2016-07-03,0.0,False
Inland Sea,2016-07-04,0.0,False
Main Lake Central,2016-07-04,0.25,False
Main Lake North,2016-07-04,0.0,False
Main Lake South,2016-07-04,0.0,False
Missisquoi Bay,2016-07-04,0.5,False
Inland Sea,2016-07-05,0.5,False
Main Lake Central,2016-07-05,1.0,True
Main Lake North,2016-07-05,0.5,False
Main Lake South,2016-07-05,1.0,True
Malletts Bay,2016-07-05,0.0,False
St. Albans Bay,2016-07-05,0.0,False
Inland Sea,2016-07-06,0.0,False
Main Lake Central,2016-07-06,1.0,True
Main Lake North,2016-07-06,0.75,False
Main Lake South,2016-07-06,0.75,False
Main Lake Central,2016-07-07,1.0,True
Main Lake South,2016-07-07,0.0,False
Malletts Bay,2016-07-07,0.0,False
Missisquoi Bay,2016-07-07,0.0,False
Inland Sea,2016-07-08,0.5,False
Main Lake Central,2016-07-08,0.0,False
Main Lake South,2016-07-08,0.0,False
Malletts Bay,2016-07-08,0.25,False
St. Albans Bay,2016-07-08,0.25,False
Inland Sea,2016-07-09,0.0,False
Main Lake Central,2016-07-09,0.25,False
Missisquoi Bay,2016-07-09,0.5,False
Inland Sea,2016-07-10,0.5,False
Main Lake Central,2016-07-10,0.25,False
Main Lake South,2016-07-10,0.25,False
Inland Sea,2016-07-11,0.0,False
Main Lake Central,2016-07-11,2.0,True
Main Lake North,2016-07-11,1.0,True
Main Lake South,2016-07-11,0.25,False
Missisquoi Bay,2016-07-11,0.0,False
Inland Sea,2016-07-12,0.25,False
Main Lake Central,2016-07-12,2.0,True
Main Lake North,2016-07-12,0.0,False
Main Lake South,2016-07-12,2.0,True
Missisquoi Bay,2016-07-12,0.25,False
St. Albans Bay,2016-07-12,0.0,False
Inland Sea,2016-07-13,0.25,False
Main Lake Central,2016-07-13,2.0,True
Main Lake North,2016-07-13,0.0,False
Main Lake South,2016-07-13,1.0,True
Inland Sea,2016-07-14,0.5,False
Main Lake Central,2016-07-14,0.5,False
Main Lake North,2016-07-14,0.5,False
Main Lake South,2016-07-14,0.25,False
Malletts Bay,2016-07-14,0.0,False
Missisquoi Bay,2016-07-14,0.25,False
St. Albans Bay,2016-07-14,0.75,False
Inland Sea,2016-07-15,0.5,False
Main Lake Central,2016-07-15,0.0,False
Inland Sea,2016-07-16,0.5,False
Main Lake Central,2016-07-16,2.0,True
Missisquoi Bay,2016-07-16,0.0,False
Inland Sea,2016-07-17,0.75,False
Main Lake Central,2016-07-17,1.0,True
St. Albans Bay,2016-07-17,1.0,True
Inland Sea,2016-07-18,0.0,False
Main Lake Central,2016-07-18,0.5,False
Main Lake North,2016-07-18,0.0,False
Main Lake South,2016-07-18,0.5,False
Malletts Bay,2016-07-18,0.25,False
Missisquoi Bay,2016-07-18,0.25,False
St. Albans Bay,2016-07-18,0.0,False
Inland Sea,2016-07-19,0.5,False
Main Lake Central,2016-07-19,0.5,False
Main Lake North,2016-07-19,0.5,False
Main Lake South,2016-07-19,0.5,False
Missisquoi Bay,2016-07-19,0.0,False
St. Albans Bay,2016-07-19,0.0,False
Inland Sea,2016-07-20,0.0,False
Main Lake Central,2016-07-20,0.0,False
Main Lake North,2016-07-20,0.0,False
Main Lake South,2016-07-20,0.75,False
Missisquoi Bay,2016-07-20,0.25,False
Inland Sea,2016-07-21,0.5,False
Main Lake Central,2016-07-21,0.0,False
Main Lake South,2016-07-21,0.25,False
Malletts Bay,2016-07-21,0.25,False
St. Albans Bay,2016-07-21,0.5,False
Inland Sea,2016-07-22,0.0,False
Main Lake South,2016-07-22,0.0,False
Inland Sea,2016-07-23,0.5,False
Main Lake North,2016-07-23,0.0,False
Missisquoi Bay,2016-07-23,0.75,False
Inland Sea,2016-07-24,0.5,False
